ts,symbol,side,entry,exit,ret,pnl,reason
2026-01-21 15:00:00+00:00,LEN,long,115.68,116.64,0.008298755186721962,84.47999999999945,exit
2026-01-22 14:00:00+00:00,HAL,long,31.63,32.7,0.03382864369269689,450.4700000000016,exit
2026-01-22 15:00:00+00:00,DVN,short,37.52,36.67,0.022654584221748486,113.90000000000019,exit
2026-01-28 18:00:00+00:00,LYB,long,48.51,49.31,0.0164914450628737,208.80000000000112,exit
2026-01-29 15:00:00+00:00,HAL,long,32.7,33.51,0.02477064220183478,247.04999999999853,exit
2026-01-30 15:00:00+00:00,LYB,long,47.5,48.95,0.030526315789473735,218.95000000000044,exit
2026-01-30 20:00:00+00:00,LYB,long,46.77,47.95,0.02522984819328622,126.25999999999996,exit
2026-02-02 19:00:00+00:00,LEN,long,106.39,107.39,0.009399379640943728,87.0,exit
2026-02-03 18:00:00+00:00,MOS,long,26.23,27.22,0.037743042317956554,279.17999999999955,exit
2026-02-05 18:00:00+00:00,LEN,short,112.02,113.77,-0.015622210319585772,-103.25,exit
2026-03-02 17:00:00+00:00,MOS,short,27.57,26.91,0.02393906420021763,196.68000000000004,exit
2026-03-06 15:00:00+00:00,HAL,long,34.65,34.06,-0.017027417027416947,-143.3699999999991,exit
2026-03-24 13:00:00+00:00,LYB,long,71.45,73.22,0.024772568229531,212.39999999999952,exit
2026-03-31 17:00:00+00:00,DVN,long,50.32,49.35,-0.01927662957074716,-218.24999999999974,bail
2026-04-02 13:00:00+00:00,HAL,long,38.01,38.87,0.022625624835569624,174.57999999999987,exit
2026-04-22 17:00:00+00:00,MOS,short,24.66,24.06,0.024330900243309084,203.4000000000005,exit
2026-04-30 19:00:00+00:00,MOS,short,23.31,23.03,0.012012012012011963,148.39999999999873,exit
2026-05-08 13:00:00+00:00,HAL,long,40.07,39.72,-0.008734714250062448,-73.5000000000003,exit
2026-06-02 19:00:00+00:00,DVN,short,46.52,45.9,0.013327601031814407,74.40000000000055,exit
2026-06-08 14:00:00+00:00,MOS,long,22.955,21.745,-0.05271182748856451,-565.0699999999987,stop_loss
2026-07-09 13:00:00+00:00,DVN,short,41.49,42.37,-0.021209930103639252,-225.27999999999884,exit
2026-07-09 13:00:00+00:00,LYB,short,56.25,54.17,0.036977777777777776,235.0399999999998,exit
2026-07-09 15:00:00+00:00,HAL,short,34.2974,34.26,0.001090461667648479,9.798800000001364,exit
